,SKS,IPK,dum_grade,lulus_4_tahun
0,145,3.2724137931034485,1.0,0
1,136,3.0602941176470586,2.0,0
2,127,2.469291338582677,7.0,0
3,145,3.5813793103448273,0.0,1
4,145,3.5317241379310347,0.0,1
5,133,3.0,6.0,0
6,145,3.4931034482758623,1.0,0
7,135,3.282962962962963,1.0,0
8,145,3.4289655172413793,1.0,0
9,141,3.126241134751773,2.0,0
10,145,3.7331034482758616,0.0,1
11,145,3.2006896551724138,2.0,0
12,145,3.424137931034483,0.0,1
13,145,3.9503448275862065,0.0,1
14,145,3.2372413793103445,1.0,0
15,145,3.6117241379310348,0.0,1
16,145,3.680689655172414,0.0,1
17,111,2.2738738738738737,13.0,0
18,88,1.4647727272727273,16.0,0
19,132,2.8015151515151517,5.0,0
20,145,3.219310344827586,0.0,1
21,107,2.1261682242990654,12.0,0
22,125,2.3935999999999997,10.0,0
23,127,3.0330708661417325,3.0,0
24,110,2.4781818181818185,8.0,0
25,133,2.845864661654135,3.0,0
26,145,3.749655172413793,0.0,1
27,136,3.2963235294117648,1.0,0
28,113,2.5407079646017703,8.0,0
29,128,2.4875,9.0,0
30,127,2.3921259842519684,9.0,0
31,145,3.609655172413793,0.0,1
32,134,2.8022388059701493,4.0,0
33,145,3.027586206896552,1.0,0
34,110,2.228181818181818,9.0,0
35,145,3.788275862068965,0.0,1
36,131,2.3923664122137405,13.0,0
37,146,2.894520547945205,2.0,0
38,136,3.113235294117647,1.0,0
39,125,2.8608000000000002,3.0,0
40,139,3.1719424460431656,1.0,0
41,128,2.82421875,2.0,0
42,140,3.0342857142857143,1.0,0
43,145,3.687586206896552,1.0,0
44,131,2.916793893129771,5.0,0
45,90,1.3077777777777777,18.0,0
46,145,3.4331034482758622,1.0,0
47,145,3.586206896551724,1.0,0
48,145,3.1986206896551725,2.0,0
49,145,3.4455172413793105,0.0,1
50,135,3.082962962962963,2.0,0
51,145,3.444137931034483,0.0,1
52,145,3.253793103448276,1.0,0
53,145,3.2620689655172415,0.0,1
54,145,3.06551724137931,1.0,0
55,145,3.3613793103448275,1.0,0
56,135,3.3362962962962963,0.0,0
57,145,3.816551724137931,1.0,0
58,139,3.1179856115107913,2.0,0
59,132,2.9689393939393938,2.0,0
60,132,3.1386363636363637,2.0,0
